id,title,author,year
540,Shrek the Musical,Eleen Crozier,1993
541,Ned Kelly,Valeria Fidelus,1980
542,Revenge of the Green Dragons,Adelaida Marchington,2012
543,Kelly's Heroes,Ches Sertin,2012
544,Vai~E~Vem,Nate MacShirie,1980
545,"Omen, The",Niccolo Ewers,1977
546,Free Willy 2: The Adventure Home,Luce Dmitrienko,2004
547,Firewall,Cary Antonsson,2003
548,Carry on Cruising,Adelice Shackelton,1993
549,Western Union,Janessa McQuorkel,2022
550,Alien Space Avenger,Putnam Antonchik,2012
551,Human Capital (Il capitale umano),Charla Kinahan,1991
552,"Return of the Magnificent Seven, The (a.k.a. Return of the Seven)",Zorana Tremontana,1990
553,Metro,Joanne Eard,2019
554,The Harmony Game,Lynna Siret,2002
555,Thanks for Sharing,Corby Breslin,1998
556,Air Crew,Jaclin Slocket,2018
557,Out in the Dark,Blondelle Janak,2000
558,Love Liza,Marti Lobe,1975
559,Blue Car,Paten Rawcliffe,1985
560,Holiday Engagement,Daphne Rubke,1997
561,Two Can Play That Game,Laurie Ellerby,2010
562,Burden of Dreams,Aundrea Stevings,1994
563,"Human Condition II, The (Ningen no joken II)",Daryl Boothman,2001
564,"Fan, The",Manuel Smallpeace,1984
565,Planet of Snail,Gwenora Tuplin,1986
566,Westfront 1918,Ted Posen,1989
567,It Happened Here,Jenilee Kluss,2018
568,To the Arctic,Delilah Crosen,2016
569,PAY 2 PLAY: Democracy's High Stakes,Mirelle Pochin,2012
570,Ass Backwards,Alison Acton,2007
571,Ju-on: White Ghost,Flory Harse,1975
572,Budz House,Ame Gilburt,1996
573,Stella Street,Pasquale Ricardo,2008
574,Cleopatra,Pete Baldock,2010
575,Yellow Sky,Jessalyn Blackaller,2023
576,Pledge This!,Orazio Motherwell,1981
577,"Waiting Room, The",Diane-marie Gabbatt,2020
578,Hoffa,Dag Kid,1981
579,Dark Horse,Jodi Cauderlie,1988
580,"Silence, The (Sokout)",Nonie Stagge,1978
581,"Pillow Book, The",Mellisa Rawes,2000
582,Excess Baggage,Daron Grene,1995
583,Ginger Snaps,Leigh Skoof,2016
584,Million Dollar Legs,Rubia Dooman,2008
585,"Woods, The",Madelaine Hethron,2005
586,Everything,Aryn Gleadhell,1989
587,The Importance of Being Earnest,Philipa Szach,1986
588,"Second Man, The (O Defteros Andras)",Verine Gradly,2001
589,Ace Ventura: When Nature Calls,Steffen Schmidt,1979
590,Riviera,Job Mathers,1978
591,Another Thin Man,Annelise Szymanowicz,1999
592,"Blue Bird, The",Sanders Mitchelson,2016
593,Ocean's Twelve,Gwynne Kibble,2012
594,Class of 1999,Delila Binner,1977
595,Speaking Parts,Beverie Liver,2017
596,Princess,Edgardo Franseco,1998
597,Innocent Lies,Murdock Eastwell,1998
598,Transformers,Bret Gianilli,1992
599,"Jimmy Rosenberg: The Father, the Son & the Talent",Kordula Itzkovsky,1987
600,Garden Lovers (Eedenistä pohjoiseen),Trumann Esterbrook,2013
601,Broadway Bill,Lynette Greville,1984
602,Airspeed,Rhoda Mell,1975
603,Star Trek: Generations,Brook Matthesius,2014
604,Everybody's Woman (La signora di tutti),Katharyn Embra,2009
605,"Dying Swan, The (Umirayushchii lebed)",Kendra Bozier,2014
606,"Monkey's Mask, The",Paulina Brandreth,1991
607,Good Luck. And Take Care of Each Other,Mersey Denney,2025
608,Glory to the Filmmaker! (Kantoku · Banzai!),Tiffi Dobrowolny,1996
609,Last Passenger,Elicia Ailward,2017
610,The .44 Specialist,Toby Nekrews,1996
611,"Lodger, The",Sonnnie Liggett,1979
612,Chef,Nestor Anselmi,2009
613,"Loved Ones, The",Preston Hattrick,1989
614,Out in the Dark,Zolly Blazeby,2008
615,Top Dog,Saudra Brough,1978
616,"Bedroom Window, The",Curran Powdrill,1999
617,Cats & Dogs,Hercule Whellans,2000
618,"Living Daylights, The",Myrtle Castro,2021
619,"Kids, The (Mistons, Les) (Mischief Makers, The)",Reinaldo De Normanville,1985
620,John Doe: Vigilante,Hardy Gerwood,1992
621,Vermont Is For Lovers,Maryellen Verney,2004
622,Army Brats (Schatjes!),Craig Bowshire,2000
623,I Can Get It for You Wholesale,Calli Steinhammer,2014
624,In This World,Kissee Giff,2005
625,Hector and the Search for Happiness,Tracy Grubb,1990
626,"Wise Guys, The (Les grandes gueules)",Thomasine Seifert,2000
627,Lucy,Etan Beams,2021
628,Shining Through,Britt Loughrey,2017
629,Blackout,Marcos Winsiowiecki,1994
630,Samson and Delilah,Ladonna Daveran,1975
631,Curdled,Marta Jansky,1988
632,Rock the Boat,Hildegarde Jankovic,1980
633,Eye See You (D-Tox),Pearla Thunderchief,1994
634,"Septième juré, Le",Cortie Crooke,2021
635,Hotte in Paradise (Hotte im Paradies),Becca Brighouse,1988
636,"Sixth of the World, A (Shestaya chast mira)",Chen Neilson,1978
637,"Cloud-Capped Star, The (Meghe Dhaka Tara)",Elle Lohrensen,1987
638,Tamara Drewe,Julietta Dilrew,1997
639,Siberian Education (Educazione siberiana),Clerc Jackalin,1985
640,Decoding Annie Parker,Harv Balloch,2021
641,Tristram Shandy: A Cock and Bull Story,Hale Castagnaro,2011
642,"Pont du Nord, Le",Erica Matteo,2000
643,Legionnaire,Kristien Dagless,1989
644,Waterland,Kayley Pioli,2022
645,Jerusalem Countdown,Sabina Livermore,1987
646,Horror Business,Burty Dennitts,2003
647,Pet Sematary,Frances Tropman,1994
648,Solyaris,Myrilla Pelling,1992
649,La discrète,Keen Imlacke,2001
650,Scorching Winds (Garm Hava) (Garam Hawa),Gayleen Skerm,2002
651,Justin and the Knights of Valour,Cariotta Oleszkiewicz,1980
652,Closing the Ring,Keary Vaux,1999
653,Kiwi!,Anne-marie O' Culligan,2018
654,Return to the Blue Lagoon,Shanda Jeaycock,1997
655,"Loco Love (Mi Casa, Su Casa)",Josey Belderson,2007
656,"City, The (Ciudad, La)",Vidovik Noteyoung,2018
657,Year of the Jellyfish (L'année des méduses),Clyde Kermitt,1993
658,Killing Them Softly,Adorne Dinis,1981
659,"Horseman on the Roof, The (Hussard sur le toit, Le)",Reiko Wraighte,2017
660,People on Sunday (Menschen am Sonntag),Jacklyn Bolan,2005
661,"Abbott and Costello Meet the Killer, Boris Karloff",Dollie Ferreri,1975
662,Alphabet,Netta Dayborne,1992
663,"Aries Spears: Hollywood, Look I'm Smiling",Vivienne Dust,2013
664,Our Town,Felisha McGonigle,2012
665,Parting Glances,Borden Alfonsini,2003
666,Georgia Rule,Patience Strognell,2020
667,Silent Fall,Isidor Gayton,1985
668,Behind Enemy Lines,Edithe Ambroz,2022
669,Geography Club,Aurel Shardlow,2010
670,Loft (Rofuto),Velvet Leyrroyd,2006
671,"Children Are Watching Us, The (Bambini ci guardano, I)",Cleopatra Posten,2015
672,Toward the Unknown,Durward McKeevers,1977
673,"Grifters, The",Rufus Louch,2001
674,"Mourning Forest, The (Mogari no mori)",Cale Tuffin,2016
675,Marriage Material,Ambrosio Tomaszewski,2020
676,Blueberry,Johanna McCormack,1986
677,"Chorus Line, A",Kahaleel Lattimer,2019
678,Interview with a Hitman,Marigold Hitter,1998
679,Flame and Citron (Flammen & Citronen),Donalt Tyrie,2017
680,"Sword in the Stone, The",Chen Duffrie,1993
681,800 Bullets (800 Balas),Deck Charity,2002
682,Promised Land (Ziemia Obiecana),Gretel Scarsbrook,2009
683,"Steel Helmet, The",Onfre MacCosty,2009
684,Ask the Dust,Simeon Sterling,2008
685,Happy Birthday to a Beautiful Woman,Adrianna Tidridge,2019
686,"Das Experiment (Experiment, The)",Rozalin Matz,2011
687,Sushi Girl,Ortensia Gayne,1986
688,Last Holiday,Julian Scrancher,1984
689,Dead Ahead: The Exxon Valdez Disaster,Hazlett Vearncomb,1991
690,The Dark Valley,Shelley Maggiori,1983
691,Storm,Lenard Rashleigh,2019
692,Airplane II: The Sequel,Alaine Sturdey,1976
693,Mitä meistä tuli,Aidan Harrow,2025
694,"Godfather: Part II, The",Zachary Vigus,2025
695,Kiki,Chantal Mabey,1981
696,Too Big to Fail,Dun Wildman,1995
697,Flying Tigers,Gibb Skellorne,1990
698,Pusher,Ingrim Curston,1984
699,"Boy in Blue, The",Mark Harses,1977
700,Jim Gaffigan: Mr. Universe,Hugo Hampshaw,2006
701,Rooster's Breakfast (Petelinji zajtrk),Wilfred Abthorpe,2019
702,Drunks,Bartlett Rathjen,1978
703,Island in the Sun,Antonin Cromblehome,2017
704,Pin...,Korie Applin,2005
705,"Joy Luck Club, The",Anette Benion,1987
706,Ali,Ronnie Sturdgess,1987
707,All the President's Men,Jule Bumby,2016
708,Motherhood,Abie Roscamp,1997
709,Battle Hymn,Rickert Mendez,2013
710,Sometimes They Come Back... Again,Giffard Boddice,1981
711,History of the Eagles,Anna Thirkettle,2002
712,CrissCross,Penny Stuck,2019
713,Milagro Beanfield War,Timmy Jaffrey,2006
714,"Killer Meteors, The (Feng yu shuang liu xing)",Vasilis Goschalk,2010
715,In the Time of the Butterflies,Pauly Strutton,1987
716,Three Coins in the Fountain,Aurore Farrans,1975
717,Fiorile,Arni Deerness,2023
718,Torment (Hets),Phil Hollindale,1997
719,Vlad Tepes (Vlad &#354;epe&#351;),Zebulen Carnalan,2018
720,Small Town Gay Bar,Kasey Thecham,2025
721,"Bride with White Hair, The (Bai fa mo nu zhuan)",Gratiana Collingdon,1997
722,"Fourth State, The (Die vierte Macht)",Bevon Sawyer,2013
723,"Terminator, The",Dominick Daykin,2014
724,"Girl Who Talked to Dolphins, The",Juliann Ballin,2019
725,Gloria,Agnesse Twede,1985
726,In a Town This Size,Jacquette Ubsdell,2006
727,"Other Boleyn Girl, The",Quintina Roan,2020
728,Dead Birds,Aundrea MacMenemy,1992
729,Summer of '04 (Sommer '04),Adda Kynson,1981
730,"Peck on the Cheek, A (Kannathil Muthamittal)",Teena Bartomieu,2005
731,Carmen Jones,Irv Isaac,1980
732,Norm MacDonald: Me Doing Standup,Julee Jaquemar,2018
733,"Theatre Bizarre, The",Hugibert Marioneau,2002
734,Appaloosa,Elwira Lyste,1976
735,Woman in Love (Rubbeldiekatz),Shurlock Franklin,2020
736,Bridesmaids,Adelice Camerati,1979
737,Father of Invention,Rudd Norridge,1999
738,Azumi 2: Death or Love,Konstanze Harome,1978
739,Take Care of My Cat (Goyangileul butaghae),Cammi Maffulli,2015
740,Gridiron Gang,Gale Nealon,2023
741,The Dancer,Brennen Manterfield,2007
742,Once Upon a Time in Phuket (En gång i Phuket),Ashby Polon,2006
743,One Trick Pony,Florencia Athelstan,2004
744,Fever,Caro Pockett,1981
745,Eichmann,Natala Summerson,1994
746,Ali G Indahouse,Ingrid Kloisner,2019
747,At War with the Army,Yolane Neil,1987
748,Book of Love,Shannen Plaskett,2013
749,Medicine for Melancholy,Hercules Harding,2021
750,Rahtree: Flower of the Night (Buppha Rahtree),Eimile Purslow,2009
751,"Slave of Love, A (Raba lyubvi)",Channa Yerrall,2021
752,School Daze,Adeline Shepton,2019
753,Chariots of Fire,Nicolette Lackner,1992
754,Curdled,Tremain Instock,2018
755,Flightplan,Krystal Hegley,2016
756,Beyond the Forest,Gretchen Sobtka,1996
757,"Beast Must Die, The",Norri Walhedd,2001
758,They Bite,Joyce Boame,2021
759,Martin Lawrence Live: Runteldat,Harriott Strowger,1995
760,True Colors,Norris Esson,2001
761,Face of a Fugitive,Ailbert Smitham,2023
762,Cruel Intentions 2 (Cruel Intentions 2: Manchester Prep),Hermia Menure,2016
763,Novo,Halli Allmark,1977
764,"Last Stand, The",Alonso Sinden,1976
765,Ganes,Lonee Hamsley,2024
766,"Edge of the World, The",Myrilla Dunthorne,1975
767,Santa Buddies,Martie Bidgod,2002
768,"Last of Sheila, The",Joya Heinl,2020
769,Coco Chanel & Igor Stravinsky,Celine Wasmuth,2004
770,Tension at Table Rock,Latrina Taber,1979
771,Alice Upside Down (Alice),Westbrooke Fist,1984
772,Family Resemblances (Un air de famille),Karel Castellani,1995
773,Strawberries in the Supermarket (Jagoda u supermarketu) ,Ganny Stuckes,2002
774,Things to Do in Denver When You're Dead,Fenelia Sims,2006
775,Cabin Fever: Patient Zero,Vladimir Klimus,1979
776,"Pink Panther, The",Linnet Lampel,1998
777,Trailer Park Boys: Live at the North Pole,Sully Addison,1985
778,Secrets of a Soul (Geheimnisse einer Seele),Rosene Hatry,1991
779,God told Me To,Aeriela Meriott,2018
780,Cul-de-sac,Cristen Faughey,2014
781,White Bird in a Blizzard,Leontyne Sprigging,1985
782,Heavenly Creatures,Trumann Borsnall,1993
783,Kaboom,Quent Massel,2000
784,Delivery Man,Eustace Ruberry,2005
785,"Shining, The",Jeromy Kinnett,2011
786,"Winning Season, The",Josefa Schuh,2009
787,Unaccompanied Minors,Tanney Issacoff,1976
788,"Five Minarets in New York (Act of Vengeance) (Terrorist, The)",Candi Dran,1977
789,The Hire: Powder Keg,Ilyssa Pendall,1997
790,Penitentiary,Dillie Murison,1994
791,"Most Beautiful, The (Ichiban utsukushiku)",Giselle Habeshaw,2002
792,Women Aren't Funny,Gretna Cockson,2021
793,Little Dorrit,Delia Grime,2014
794,Hard to Be a God,Isidoro Kinig,2015
795,"Hot Dog Program, A",Kate Lathan,1988
796,High Art,Gaspard Wilshere,1999
797,Gunfighter's Moon,Bambi Fetherstonhaugh,2007
798,Everybody's Famous! (Iedereen beroemd!),Hasty Seleway,2023
799,If You Could Only Cook,Ariel O'Hear,1981
800,Barabbas,Garrett Newlin,2004
801,Right Now (À tout de suite),Reggi Somers,1984
802,Evil (Ondskan),Rad Murfett,1980
803,"Power of Nightmares, The: The Rise of the Politics of Fear",Yoshi Reinard,2013
804,"Hound of the Baskervilles, The",Jan Brandolini,1998
805,"Winning of Barbara Worth, The",Alvinia Trout,1995
806,10 MPH,Dallon Kleinplatz,1981
807,Puppet Master: Axis of Evil (Puppet Master 10),Ashlie Hessel,1988
808,"Dragonphoenix Chronicles: Indomitable, The",Jessee Cusick,2012
809,"Swarm, The",Alair Mardle,2005
810,"Saint in London, The",Malanie Slisby,2003
811,Palindromes,Gilberta Doughtery,2022
812,Grumpy Old Men,Ferdinanda Mickelwright,1986
813,Kamikaze,Eliza Aleksankov,1978
814,"Messenger, The",Iver Ledram,2021
815,"Incredible Melting Man, The",Town Westbrook,1989
816,Jim Jefferies: Alcoholocaust,Carr Sayton,1989
817,Rudolph the Red-Nosed Reindeer,Kelsey Casolla,2009
818,Black Snake Moan,Rora Hrycek,1990
819,"Jungo Goes Bananas: Jungo III (Jungledyret Hugo: Fræk, flabet og fri)",Gizela Joberne,1993
820,Sharktopus,Monte Anlay,2013
821,Judge Dredd,Rodrique Burnsides,2013
822,"Greatest Game Ever Played, The",Gerti Walding,2003
823,"MatchMaker, The",Maxie Bryde,1980
824,Spinout,Gisela Gaytor,1995
825,Empty Nest (El nido vacío),Briana Fidgett,2006
826,Little Big Soldier (Da bing xiao jiang),Chic Bellee,2004
827,Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha),Angeline Lambarton,1978
828,"Scarecrow, The",Munmro Kennefick,1979
829,"Krakatoa, East of Java",Federico Creese,1987
830,Mister Buddwing,Brose Creggan,2011
831,"Rains Came, The",Mareah Kiendl,2010
832,The Stanford Prison Experiment,Gwendolen Gallier,1985
833,Spooky House,Glory Aaron,2006
834,Bad Girls,Herrick Wagen,2023
835,Getting Even with Dad,Raphaela McAuley,2007
836,Scenes From a Marriage (Scener ur ett äktenskap),Lynnell Cissen,2009
837,"Collector, The (La collectionneuse)",Zuzana Simonetti,2021
838,Reckless,Laurie Carah,1977
839,"Brave, The",Carleton Hencke,1995
840,Only God Knows (Sólo Dios Sabe),Glynda Froment,1994
841,Preaching to the Perverted,Jasmine Bunston,1980
842,Alabama's Ghost,Grove Wallhead,1977
843,Zero Tolerance (Noll tolerans),Sigismond Decourcy,2017
844,"Visitors, The (Visiteurs, Les)",Merci Brisseau,2024
845,"Eighth Day, The (Den Åttonde dagen)",Had Gong,1984
846,"Four Musketeers, The",Shayne Guillerman,2011
847,Secrets of a Soul (Geheimnisse einer Seele),Cort Ozelton,1978
848,Julius Caesar,Danny Tigner,2001
849,"Ditchdigger's Daughters, The",Bellina Padley,2013
850,Ever After: A Cinderella Story,Ninette Klimpke,1992
851,Wrestling for Jesus: The Tale of T-Money,Sherye Pellington,1999
852,Pray the Devil Back to Hell,Dougie Chaucer,1977
853,Son of Batman,Quintin Cluelow,1994
854,Hippie Masala - Forever in India,Davine Shinton,2007
855,Come and Get It,Demetrius Rambaut,1981
856,Bar Girls,Golda Leed,1986
857,Eight Crazy Nights (Adam Sandler's Eight Crazy Nights),Benyamin Beirne,2021
858,"Padrecito, El (Little Priest)",Hobie Goodacre,2002
859,"Miss and the Doctors (Tirez la langue, mademoiselle)",Kamilah Baggelley,2024
860,"Story of Me, The (O contador de histórias)",Northrop Whartonby,1995
861,Man of the House,Fran Kirkhouse,2025
862,SUBWAYStories: Tales from the Underground,Amerigo Chadderton,2005
863,Confetti,Kasper Byneth,1988
864,Steppenwolf,Peggie Thorlby,2008
865,Gloria,Jayson Stedson,1998
866,"Rocket from Calabuch, The (Calabuch)",Perkin Abells,2017
867,Viva Zapata!,Alley Pheasant,2008
868,Babel,Reinold Burdell,2025
869,Went the Day Well?,Janette Finnie,2015
870,"Legend of Zorro, The",Ardine Hamnet,1995
871,Mr. Nanny,Kirstyn Cookney,2004
872,Micki + Maude,Bird McIntosh,1976
873,My Sex Life... or How I Got Into an Argument (Comment je me suis disputé... (ma vie sexuelle)),Kort Orleton,1985
874,Attack on the Iron Coast,Abel Eric,1982
875,44 Minutes: The North Hollywood Shoot-Out,Ola Lineham,2023
876,Miral,Isac Dawidowitsch,1999
877,Bopha!,Shirl Jammes,1991
878,"Bear, The (Ours, L')",Stacie Cowill,1979
879,Monkey Business,Celestia Mallabone,1989
880,Cathy Come Home,Claudine Sawood,2014
881,"Man Who Loved Women, The",Kittie Duesbury,1996
882,Shanks,Lib Dickenson,1975
883,Battlestar Galactica,Kenyon Alp,2002
884,The Last of the Finest,Becki Besset,1985
885,"Tender Trap, The",Perri Topham,1988
886,Max Manus,Brook Hallt,1976
887,"Secret of Moonacre, The",Cookie Dundon,2011
888,Attack!,Sioux Heikkinen,2008
889,Mayor of the Sunset Strip,Paxton Float,2011
890,Scanners III: The Takeover (Scanner Force),Alikee Ravilious,1975
891,"Dames du Bois de Boulogne, Les (Ladies of the Bois de Boulogne, The) (Ladies of the Park)",Gerrard Dive,2024
892,"Other Side of Midnight, The",Elysee Pierucci,2008
893,Killer Bean 2: The Party,Sammie Flahy,1978
894,"Dorado, El",Marline Tzuker,1987
895,I Love Your Work,Suzanna Screen,1985
896,Dead in the Water,Simone Kitchinham,1984
897,Trek Nation,Richart Livesey,1990
898,"Cold Light of Day, The",Graham Baitman,2014
899,"Snows of Kilimanjaro, The (Neiges du Kilimandjaro, Les)",Lukas Botger,2005
900,"Art of War II: Betrayal, The",Tabor Hobben,2006
901,Tomboy,Lazarus Bowles,2006
902,Beastie Boys: Sabotage,Susy Wardington,2006
903,Bastards (Les salauds),Stacee Bampforth,1996
904,Psycho II,Rheba Manford,1995
905,Green Lantern: First Flight,Madelle Glascott,1997
906,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,Kristyn Pydcock,2015
907,Victim,Jannel Leachman,2019
908,Down to You,Loraine Robilliard,1977
909,"Santa Clause 3: The Escape Clause, The",Isidore Top,1987
910,Serious Moonlight,Giuseppe Leemans,2013
911,The Legend of Mor'du,Arlyne Vegas,1978
912,Arbitrage,Port Chatwin,1998
913,Perfectly Normal,Feodor Ruzic,2020
914,Food of the Gods II,Pattin Kirwood,2016
915,Portraits of Women (Naisenkuvia),Nanci Arnson,2014
916,"Care Bears Movie, The",Flossi Kleuer,2011
917,For the Love of a Dog,Sherline Brandrick,2019
918,"Escape Artist, The",Patrizia Worts,1995
919,Black Cloud,Winnifred Krauss,2025
920,"Good Lawyer's Wife, A (Baramnan gajok)",Lida Paolozzi,2016
921,Unknown,Berrie Overstone,2019
922,The Key,Hertha Leffek,2020
923,Talcum Powder,Aubert Rugiero,1992
924,Bad Ronald,Goran Nabarro,1978
925,"House, The (A Casa)",Amalle Dionisii,2024
926,Six Ways to Sunday,Darill Whooley,1975
927,"Strange Case of Dr. Jekyll and Miss Osbourne, The (Dr. Jekyll and His Women) (Docteur Jekyll et les femmes)",Lindsey Domingues,1977
928,"Tesseract, The",Piper Holby,1981
929,The Wind in the Willows,Staffard Buntine,1996
930,"Fantasticks, The",Kettie McGinn,1977
931,She's the Man,Rriocard Perring,1979
932,"Frozen, The",Abdel Betke,1991
933,"Stupids, The",Duke Housbey,1998
934,Elena and Her Men (Paris Does Strange Things) (Elena et les hommes),Ailsun Liddington,1991
935,"Grand Maneuver, The (Les grandes manoeuvres)",Fraze Nani,2001
936,High School Hellcats,Deck Simchenko,2020
937,La Legge Violenta Della Squadra Anticrimine,Ailis Peasegood,2009
938,"Girl of Your Dreams, The (Niña de tus ojos, La)",Krishna Tembey,2022
939,Terra (a.k.a. Battle for Terra),Bo Bhatia,1986
940,Overlord,Leanna Ligoe,2023
941,Batman: Assault on Arkham,Karyn Collingham,1992
942,Her Master's Voice,Brian Hull,1980
943,Experiment in Terror,Tadio Callaway,2024
944,Ready to Wear (Pret-A-Porter),Francisca Murphy,1996
945,"Snails, The (Escargots, Les)",Susie Achromov,2014
946,In the Time of the Butterflies,Annamarie Syratt,1988
947,Heavens Fall,Julietta Yoxall,2019
948,Sleepwalkers,Alyda Redmore,1975
949,Bay of Angels (La baie des anges),Barrie Millyard,1978
950,Happiness,Charley Brugger,2019
951,"Fog, The",Herve Farragher,2011
952,Where's Poppa?,Vick Pilkington,2022
953,Promised Land (Ziemia Obiecana),Jarrid Ellar,1999
954,Marie and Bruce,Waiter Rozea,2007
955,"Grass Harp, The",Micki Greenly,1991
956,Oxy-Morons,Antonia Diment,2015
957,Just Friends?,Darrin Citrine,2012
958,The Real Glory,Amabelle Andretti,2015
959,"Man with No Shadow, The (Homme sans ombre, L')",Alessandra Holywell,1980
960,Kiss of the Spider Woman,Betteanne Datte,2014
961,Lilting,Collete Moncrieffe,2016
962,"Pleasure Garden, The",Gerrilee Ebbens,1988
963,God's Not Dead,Winfield McKmurrie,2021
964,Let It Be,Lynea Franken,1999
965,Ziggy Stardust and the Spiders from Mars,Ira Eakly,1990
966,I Accuse!,Wald Blethyn,1976
967,Gerhard Richter Painting,Hewett Isles,1993
968,Trust Me,Jenn Hollingby,1977
969,Orchestra Rehearsal (Prova d'orchestra),Orly Braund,1979
970,People on Sunday (Menschen am Sonntag),Ivonne Dorrian,2002
971,"Prophecy 3: The Ascent, The",Damian Klimashevich,1987
972,"Patriots, The (Patriotes, Les)",Phoebe Tumber,2008
973,Cape Fear,Cathryn Johanchon,2019
974,"Django, Kill... If You Live, Shoot! (Se sei vivo spara)",Antonina Gabbatt,2004
975,Zorro,Carla Willcock,2023
976,"Forsaken, The",Kim Boldero,2023
977,Shooter,Carmel Cammock,2025
978,Strings,Anderea Ritmeyer,1983
979,"Web of Death, The",Prent Buckston,1983
980,Crash,Dara Marklew,2024
981,Coherence,Polly Commin,2012
982,Yves Saint Laurent,Trudey Whear,1983
983,"Hail Mary ('Je vous salue, Marie')",Zeb Seyers,2006
984,The Clowns,Son Aukland,2004
985,Fara,Lincoln Wisedale,1991
986,Mean Girls,Eberhard Goroni,2010
987,Charlie Chan in Egypt,Grant Nurcombe,1993
988,Blackwoods,Oralla Pedlow,1983
989,Cry 'Havoc',Shem Glas,2001
990,Screwed,Douglas Mynard,1996
991,"Wedding in Blood (Noces rouges, Les)",Merrie Reidshaw,2015
992,"Pursuit of D.B. Cooper, The (a.k.a. Pursuit)",Wynne Bubear,1997
993,"Gorgon, The",Boot McCumskay,1976
994,Eulogy,Adaline Whelan,1995
995,Bernie,Paolina Stanistreet,1986
996,Out of Bounds,Sherrie Guitte,2012
997,"Soul of Bread, The (Ai de mian bao hun)",Iain Lacknor,2025
998,Kounterfeit,Theodora Baskett,1998
999,It's a Bird,Rosalind Geerling,1988
1000,"Caveman's Valentine, The",Elle Longstreeth,1984
